id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
226346;Кофе в капсулах Lebo Latte macchiato для кофемашин Dolce Gusto 16шт, 172г;https://online.metro-cc.ru/products/8shth65g8shth15g-kofe-lebo-latte-macchiato-v-kapsulah;599;689;LEBO
238895;Кофе Jardin Латте 3в1 (18г x 8шт), 144г;https://online.metro-cc.ru/products/8shth18g-kofe-jardin-latte-3v1;287;287;JARDIN
241845;Кофе в капсулах Coffesso Americano Gold для кофемашин Dolce Gusto 16шт, 128г;https://online.metro-cc.ru/products/16shth8g-kofe-coffesso-americano-gold-kapsuly;459;549;COFFESSO
234805;Кофе Жокей классический 3в1 растворимый (12г x 50шт), 600г;https://online.metro-cc.ru/products/kofe-zhokey-klassicheskiy-3v1-rastvorimyy-12g-x-50sht-600g;529;529;ЖОКЕЙ
99542;Кофе Nescafe Gold Aroma Intenso растворимый, 85г;https://online.metro-cc.ru/products/kofe-nescafe-gold-aroma-intens-rastvorimyj-poroshkoobraznyj-85-g;299;499;NESCAFE
223100;Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт, 184г;https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg;419;469;ABSOLUT
232899;Кофе D'Arte Light растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-darte-light-rastvorimyy;399;469;D'ARTE
229162;Кофе Tchibo Gold selection растворимый, 150г;https://online.metro-cc.ru/products/150g-kofe-tchibo-gold-selection-rastvorimyy;399;449;TCHIBO
228242;Кофе Жокей Gold растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-zhokey-gold-rastvorimyy-stb;319;319;ЖОКЕЙ
218638;Кофе Nescafe Classic растворимый, 190г;https://online.metro-cc.ru/products/190g-kofe-nescafe-classic-rastvorimyy-stekl-banka;349;419;NESCAFE
224714;Кофе Monarch Gold растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-monarch-gold-rastvorimyy-st;359;379;MONARCH
231667;Кофе Monarch Brazilian Selection молотый, 230г;https://online.metro-cc.ru/products/230g-kofe-monarch-brazilian-selection-molotyy;349;389;MONARCH
248729;Кофе Carte Noire растворимый сублимированный (1.8г x 30шт), 54г;https://online.metro-cc.ru/products/30shtx18g-kofe-carte-noire-rastvorimyy-sublimirovannyy;399;399;CARTE NOIRE
637202;Кофе в капсулах L’or Espresso Ristretto для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/l-rsquoor-ristretto-52-g;379;399;L'OR
